25 50
     1	58268.0 12500.0
     2	58268.0 12500.0
     3	58268.0 12500.0
     4	58268.0 12500.0
     5	58268.0 12500.0
     6	58268.0 12500.0
     7	58268.0 12500.0
     8	58268.0 12500.0
     9	58268.0 12500.0
    10	58268.0 12500.0
    11	58268.0 0.0
    12	58268.0 12500.0
    13	58268.0 12500.0
    14	58268.0 12500.0
    15	58268.0 12500.0
    16	58268.0 12500.0
    17	58268.0 12500.0
    18	58268.0 12500.0
    19	58268.0 12500.0
    20	58268.0 12500.0
    21	58268.0 12500.0
    22	58268.0 12500.0
    23	58268.0 12500.0
    24	58268.0 12500.0
    25	58268.0 12500.0
     1	146.0
     2	87.0
     3	672.0
     4	1337.0
     5	31.0
     6	559.0
     7	2370.0
     8	1089.0
     9	33.0
    10	32.0
    11	5495.0
    12	904.0
    13	1466.0
    14	143.0
    15	615.0
    16	564.0
    17	226.0
    18	3016.0
    19	253.0
    20	195.0
    21	38.0
    22	807.0
    23	551.0
    24	304.0
    25	814.0
    26	337.0
    27	4368.0
    28	577.0
    29	482.0
    30	495.0
    31	231.0
    32	322.0
    33	685.0
    34	12912.0
    35	325.0
    36	366.0
    37	3671.0
    38	2213.0
    39	705.0
    40	328.0
    41	1681.0
    42	1117.0
    43	275.0
    44	500.0
    45	2241.0
    46	733.0
    47	222.0
    48	49.0
    49	1464.0
    50	222.0
1 1 6739.72500
1 2 3204.86250
1 3 4914.00000
1 4 32372.11250
1 5 1715.46250
1 6 6421.51250
1 7 81972.37500
1 8 33391.46250
1 9 2020.83750
1 10 1459.60000
1 11 141015.43750
1 12 17684.50000
1 13 38207.62500
1 14 1953.73750
1 15 17181.56250
1 16 25640.85000
1 17 7031.42500
1 18 78453.70000
1 19 9452.71250
1 20 8597.06250
1 21 1581.27500
1 22 23170.98750
1 23 12087.56250
1 24 4883.00000
1 25 24063.87500
1 26 4124.03750
1 27 281463.00000
1 28 11056.76250
1 29 8585.62500
1 30 12480.18750
1 31 3727.76250
1 32 4673.02500
1 33 13451.68750
1 34 372672.60000
1 35 9745.93750
1 36 12055.12500
1 37 97602.71250
1 38 60774.51250
1 39 54470.06250
1 40 7146.30000
1 41 38011.61250
1 42 39723.31250
1 43 16111.56250
1 44 16981.25000
1 45 168663.26250
1 46 57109.86250
1 47 15576.07500
1 48 2542.48750
1 49 34056.30000
1 50 7095.67500
2 1 10355.05000
2 2 5457.07500
2 3 26409.60000
2 4 29982.22500
2 5 2152.17500
2 6 23701.60000
2 7 28499.25000
2 8 26544.37500
2 9 2480.77500
2 10 1995.20000
2 11 205925.12500
2 12 32069.40000
2 13 42477.35000
2 14 5044.32500
2 15 36054.37500
2 16 35602.50000
2 17 10492.05000
2 18 92515.80000
2 19 12441.27500
2 20 14113.12500
2 21 2030.15000
2 22 48702.45000
2 23 19877.32500
2 24 12851.60000
2 25 39682.50000
2 26 12148.85000
2 27 406770.00000
2 28 22113.52500
2 29 22449.15000
2 30 25455.37500
2 31 11116.87500
2 32 13346.90000
2 33 35106.25000
2 34 229188.00000
2 35 18070.00000
2 36 18181.05000
2 37 73603.55000
2 38 63568.42500
2 39 65177.25000
2 40 8618.20000
2 41 70728.07500
2 42 52917.87500
2 43 20714.37500
2 44 32575.00000
2 45 210766.05000
2 46 66703.00000
2 47 18481.50000
2 48 3928.57500
2 49 34221.00000
2 50 11999.10000
3 1 7650.40000
3 2 3845.40000
3 3 19622.40000
3 4 21024.32500
3 5 1577.90000
3 6 16197.02500
3 7 43134.00000
3 8 6370.65000
3 9 1869.45000
3 10 1402.40000
3 11 104130.25000
3 12 15322.80000
3 13 15319.70000
3 14 4089.80000
3 15 25399.50000
3 16 25154.40000
3 17 6305.40000
3 18 36644.40000
3 19 7754.45000
3 20 10500.75000
3 21 1326.20000
3 22 36072.90000
3 23 9670.05000
3 24 10822.40000
3 25 24603.15000
3 26 8180.67500
3 27 325852.80000
3 28 11424.60000
3 29 14122.60000
3 30 22151.25000
3 31 8229.37500
3 32 7880.95000
3 33 25927.25000
3 34 203364.00000
3 35 12049.37500
3 36 11400.90000
3 37 59561.97500
3 38 27330.55000
3 39 52117.12500
3 40 6428.80000
3 41 39587.55000
3 42 32225.45000
3 43 15620.00000
3 44 23312.50000
3 45 169251.52500
3 46 53124.17500
3 47 14368.95000
3 48 3020.85000
3 49 24448.80000
3 50 7886.55000
4 1 5219.50000
4 2 2396.85000
4 3 13876.80000
4 4 29681.40000
4 5 1061.75000
4 6 10383.42500
4 7 65767.50000
4 8 16770.60000
4 9 1324.95000
4 10 869.60000
4 11 12638.50000
4 12 8429.80000
4 13 15832.80000
4 14 3428.42500
4 15 16297.50000
4 16 15763.80000
4 17 2542.50000
4 18 27445.60000
4 19 3542.00000
4 20 7254.00000
4 21 693.50000
4 22 26166.97500
4 23 3801.90000
4 24 8930.00000
4 25 11050.05000
4 26 5611.05000
4 27 253234.80000
4 28 5582.47500
4 29 7458.95000
4 30 19069.87500
4 31 5826.97500
4 32 4330.90000
4 33 17347.62500
4 34 322800.00000
4 35 7198.75000
4 36 5307.00000
4 37 83331.70000
4 38 30982.00000
4 39 40378.87500
4 40 7822.80000
4 41 15801.40000
4 42 13627.40000
4 43 11041.25000
4 44 16250.00000
4 45 131938.87500
4 46 40919.72500
4 47 10672.65000
4 48 2205.00000
4 49 31329.60000
4 50 4190.25000
5 1 5776.12500
5 2 2628.48750
5 3 9147.60000
5 4 21275.01250
5 5 1250.46250
5 6 7483.61250
5 7 58805.62500
5 8 13571.66250
5 9 1525.83750
5 10 1050.80000
5 11 46089.31250
5 12 1231.70000
5 13 11526.42500
5 14 2289.78750
5 15 15828.56250
5 16 18421.65000
5 17 3918.27500
5 18 23562.50000
5 19 5082.13750
5 20 7875.56250
5 21 924.82500
5 22 23493.78750
5 23 2252.21250
5 24 6798.20000
5 25 13644.67500
5 26 2952.96250
5 27 264755.40000
5 28 2430.61250
5 29 6609.42500
5 30 15598.68750
5 31 4628.66250
5 32 2861.77500
5 33 15249.81250
5 34 261306.60000
5 35 7592.81250
5 36 7379.47500
5 37 65940.33750
5 38 20497.91250
5 39 44494.31250
5 40 5211.10000
5 41 16494.81250
5 42 20427.13750
5 43 12598.43750
5 44 16268.75000
5 45 144628.53750
5 46 45381.86250
5 47 12024.07500
5 48 2361.18750
5 49 21905.10000
5 50 4847.92500
6 1 6641.17500
6 2 3220.08750
6 3 14977.20000
6 4 20071.71250
6 5 1363.61250
6 6 12332.93750
6 7 48555.37500
6 8 8861.73750
6 9 1646.28750
6 10 1181.20000
6 11 66146.06250
6 12 9073.90000
6 13 5185.97500
6 14 3530.31250
6 15 21148.31250
6 16 21255.75000
6 17 4743.17500
6 18 23034.70000
6 19 6005.58750
6 20 9152.81250
6 21 1063.52500
6 22 30494.51250
6 23 5847.48750
6 24 9435.40000
6 25 18976.37500
6 26 5851.16250
6 27 294457.80000
6 28 7436.08750
6 29 10790.77500
6 30 19892.81250
6 31 6632.58750
6 32 5655.12500
6 33 21192.18750
6 34 229995.00000
6 35 9802.81250
6 36 8870.92500
6 37 56946.38750
6 38 15076.06250
6 39 47243.81250
6 40 5621.10000
6 41 27925.61250
6 42 24504.18750
6 43 13719.06250
6 44 19856.25000
6 45 153760.61250
6 46 48057.31250
6 47 12834.37500
6 48 2682.13750
6 49 20807.10000
6 50 6351.97500
7 1 4374.52500
7 2 1838.96250
7 3 21848.40000
7 4 64292.98750
7 5 1524.03750
7 6 15840.66250
7 7 138615.37500
7 8 51550.53750
7 9 1817.06250
7 10 1133.20000
7 11 198300.81250
7 12 32781.30000
7 13 62653.17500
7 14 5553.76250
7 15 7310.81250
7 16 18478.05000
7 17 6856.27500
7 18 126332.70000
7 19 10274.96250
7 20 5467.31250
7 21 1628.77500
7 22 14919.41250
7 23 19650.03750
7 24 11943.40000
7 25 20197.37500
7 26 11613.86250
7 27 211356.60000
7 28 19279.01250
7 29 11525.82500
7 30 23976.56250
7 31 6476.66250
7 32 9623.77500
7 33 16808.18750
7 34 681269.40000
7 35 5780.93750
7 36 10865.62500
7 37 185247.83750
7 38 97731.61250
7 39 47631.56250
7 40 15256.10000
7 41 49862.66250
7 42 41119.56250
7 43 12502.18750
7 44 9331.25000
7 45 134768.13750
7 46 52583.58750
7 47 14205.22500
7 48 1756.03750
7 49 69009.30000
7 50 4903.42500
8 1 3847.10000
8 2 2266.35000
8 3 35330.40000
8 4 80186.57500
8 5 955.57500
8 6 27251.25000
8 7 155294.25000
8 8 57907.57500
8 9 1211.92500
8 10 546.40000
8 11 220212.12500
8 12 41335.40000
8 13 71210.95000
8 14 8308.30000
8 15 21709.50000
8 16 8135.70000
8 17 7119.00000
8 18 141375.00000
8 19 10214.87500
8 20 6371.62500
8 21 1619.75000
8 22 33813.30000
8 23 23844.52500
8 24 18148.80000
8 25 24684.55000
8 26 17111.17500
8 27 210756.00000
8 28 25460.12500
8 29 20448.85000
8 30 34080.75000
8 31 11884.95000
8 32 14610.75000
8 33 32845.75000
8 34 810550.80000
8 35 10692.50000
8 36 10202.25000
8 37 222003.72500
8 38 114578.07500
8 39 34351.12500
8 40 19762.00000
8 41 62659.27500
8 42 40854.27500
8 43 7885.62500
